i1,i2,d
0,1,0.989665266324729
0,2,0.9791561243005665
0,3,0.968426912727954
0,4,0.9575886813117402
0,5,0.9465239679587532
0,6,0.9352199424820754
0,7,0.9236570274238378
0,8,0.9118499771387194
0,9,0.8995723971635632
0,10,0.8870172860685974
0,11,0.8741520738185978
0,12,0.8609622529427978
0,13,0.8475023625890583
0,14,0.8338992589478673
0,15,0.8199841265414376
0,16,0.8057246321747323
0,17,0.7911178478706604
0,18,0.7761511947021257
0,19,0.7607690879198459
0,20,0.7449998808872188
0,21,0.7288016516535412
0,22,0.7121384019236385
0,23,0.6950458430724804
0,24,0.6774778981972351
0,25,0.6594388354030821
0,26,0.6413028203086306
0,27,0.6226539838257952
0,28,0.6034643263008581
0,29,0.5837344172684682
0,30,0.563422469602118
0,31,0.5425054510256138
0,32,0.52098057523765
0,33,0.4988203899943159
0,34,0.47595987573759735
0,35,0.45237509251805597
0,36,0.42770345361389217
0,37,0.40224014014651
0,38,0.3759352595787542
0,39,0.3487668173823407
0,40,0.3209370191297334
0,41,0.2921814242048836
0,42,0.26236429429691754
0,43,0.2314795165396316
0,44,0.1995217646563675
0,45,0.1663877514382479
0,46,0.1320093387653436
0,47,0.09633243383272228
0,48,0.05925129921340622
0,49,0.020703394478300274
0,50,-0.01945248488579343
0,51,-0.061304251526646536
0,52,-0.10418631539208378
0,53,-0.14887434162850954
0,54,-0.19554278503735067
0,55,-0.24423323976000277
0,56,-0.2955910941464909
0,57,-0.34890831159702695
0,58,-0.4057456667638245
0,59,-0.46523280986347226
0,60,-0.5277778517300012
0,61,-0.5938121569229037
0,62,-0.6631539219867849
0,63,-0.7356856221060711
0,64,-0.8122278909776032
0,65,-0.8932506227019578
0,66,-0.9790711610582347
0,67,-1.0701391694978448
0,68,-1.1669022445603807
0,69,-1.2699595496926048
0,70,-1.3799508639889995
0,71,-1.4976770755562483
0,72,-1.6241759191874023
0,73,-1.760215825851486
0,74,-1.9067812578586723
0,75,-2.0652993045002916
0,76,-2.2338284283114365
0,77,-2.416700098502533
0,78,-2.6161759369420254
0,79,-2.8345818905606084
0,80,-3.0746305565756162
0,81,-3.3402159418700017
0,82,-3.635152637982318
0,83,-3.964165298505016
0,84,-4.333913427656787
0,85,-4.7527726889855515
0,86,-5.230945197707266
0,87,-5.782427966092299
0,88,-6.424725249205115
0,89,-7.182687114310139
0,90,-8.091610063016606
0,91,-9.220366283926293
0,92,-10.633324249537932
0,93,-12.45273852118565
0,94,-14.883232054114218
0,95,-18.29287217479157
0,96,-23.34181856445801
0,97,-31.751321179305823
0,98,-48.45353057441258
0,99,-98.83478637117925
1,2,0.9896808824484778
1,3,0.9791730309824641
1,4,0.9685607325435773
1,5,0.9577290954582802
1,6,0.9466656659114729
1,7,0.9353514480922455
1,8,0.9238010998037712
1,9,0.9117933773870514
1,10,0.899517337663088
1,11,0.8869413187167089
1,12,0.8740513522008599
1,13,0.8609009123037934
1,14,0.8476143143655759
1,15,0.8340267035868372
1,16,0.820106709197775
1,17,0.8058518723767975
1,18,0.7912502028089614
1,19,0.7762477698091762
1,20,0.7608727057500166
1,21,0.7450844143299721
1,22,0.7288482484279761
1,23,0.7121993947009816
1,24,0.6950934547473675
1,25,0.6775351303655497
1,26,0.6598889036262545
1,27,0.6417504858045882
1,28,0.6230931978791152
1,29,0.6039180118100194
1,30,0.5841851764986703
1,31,0.5638729248532431
1,32,0.5429793438311541
1,33,0.5214785487152909
1,34,0.499308391866915
1,35,0.47644648383130794
1,36,0.4525426180194877
1,37,0.42788425695885424
1,38,0.4024240911463023
1,39,0.3761421693056777
1,40,0.3492353874190257
1,41,0.3214493256095753
1,42,0.2926543529597987
1,43,0.26284657616713736
1,44,0.23202265487724605
1,45,0.2000851684438485
1,46,0.16697058614210403
1,47,0.13262935572941037
1,48,0.09696279554113352
1,49,0.059913320745810794
1,50,0.021348478973131524
1,51,-0.018811585725366453
1,52,-0.05992557764500239
1,53,-0.10273355151602293
1,54,-0.14739802828259851
1,55,-0.19395305803418228
1,56,-0.24300935145591673
1,57,-0.2938844123290213
1,58,-0.3480585980730436
1,59,-0.40469269489950077
1,60,-0.4641662788946176
1,61,-0.5268765438276956
1,62,-0.5926394419079507
1,63,-0.6613306378490259
1,64,-0.7337126497847098
1,65,-0.8102107000922328
1,66,-0.8911053054824555
1,67,-0.9767961901990042
1,68,-1.067676551927788
1,69,-1.1642767720951133
1,70,-1.2671604989386611
1,71,-1.3770314217009414
1,72,-1.4948060364729314
1,73,-1.6211366422018796
1,74,-1.756863443099311
1,75,-1.9032196376971848
1,76,-2.058319649328066
1,77,-2.2260419806515017
1,78,-2.4083107484435526
1,79,-2.607065297042365
1,80,-2.824540483980116
1,81,-3.0639695191470167
1,82,-3.328418847776113
1,83,-3.6216509850774723
1,84,-3.9489779373653326
1,85,-4.316989886828055
1,86,-4.7335278067238065
1,87,-5.209243596853231
1,88,-5.757073681063954
1,89,-6.395100058347402
1,90,-7.148390629365495
1,91,-8.06639053455956
1,92,-9.189101803337003
1,93,-10.593177396742849
1,94,-12.399369345492286
1,95,-14.807963195951737
1,96,-18.12971155532411
1,97,-23.096653481576286
1,98,-31.29130964266896
1,99,-47.66469587759533
2,3,0.989681677487959
2,4,0.9792878718901131
2,5,0.9686815597807903
2,6,0.9578506458946314
2,7,0.9467766896085572
2,8,0.9354742473764444
2,9,0.9237270402384007
2,10,0.9117203083811404
2,11,0.8994232573299334
2,12,0.8868224287810311
2,13,0.8739702605227099
2,14,0.8609886074574998
2,15,0.8477164237519291
2,16,0.8341232541322227
2,17,0.8202070764309202
2,18,0.805956452654802
2,19,0.7913190275790851
2,20,0.7763227021940962
2,21,0.7609281370772598
2,22,0.7451019620418126
2,23,0.7288788390989855
2,24,0.7122159571071718
2,25,0.6951184080629942
2,26,0.6779413747012891
2,27,0.6602916416492872
2,28,0.6421437642208665
2,29,0.6234990698554629
2,30,0.604319716325974
2,31,0.5845851084950022
2,32,0.5642941252714304
2,33,0.5434223340444695
2,34,0.5219102760391783
2,35,0.49973698679102896
2,36,0.4765639825036325
2,37,0.4526712990128129
2,38,0.4280140134651782
2,39,0.4025740357163228
2,40,0.3765431393890212
2,41,0.34967632890533396
